stringId_A,stringId_B,Name_A,Name_B,combined_score,experimental_score,textmining_score,database_score,corr_score
ENSP00000364034,ENSP00000346206,TAP2,TAP1,0.963,0.453,0.13475,0.9,0.98165255416392
ENSP00000404833,ENSP00000364034,TAPBP,TAP2,0.991,0.472,0.80,0.9,0.9036238067139304
ENSP00000321853,ENSP00000308938,SERPINF2,PLG,0.995,0.435,0.9,0.9,0.9143601039311754
ENSP00000395772,ENSP00000354040,GNL3,GTPBP4,0.99,0.734,0.7,0.0,0.9167340524726698
ENSP00000354040,ENSP00000346120,GTPBP4,DDX21,0.96,0.192,0.1,0.0,0.9116426230711878
ENSP00000354040,ENSP00000234170,GTPBP4,CEBPZ,0.991,0.875,0.54,0.0,0.9078711007581978
ENSP00000354040,ENSP00000263239,GTPBP4,DDX18,0.992,0.903,0.22,0.0,0.9046531922094789
ENSP00000455106,ENSP00000354040,BOP1,GTPBP4,0.986,0.74,0.51,0.0,0.9067847480363873
ENSP00000418221,ENSP00000354040,RPL7L1,GTPBP4,0.627,0.412,0.17,0.0,0.9243332806023363
ENSP00000354040,ENSP00000350698,GTPBP4,DDX47,0.943,0.549,0.0,0.0,0.9088917902136874
ENSP00000354040,ENSP00000346725,GTPBP4,PES1,0.996,0.923,0.54,0.0,0.9482130542371315
ENSP00000371858,ENSP00000354040,NOP2,GTPBP4,0.997,0.943,0.69,0.0,0.9072734168197423
ENSP00000354040,ENSP00000317992,GTPBP4,NOC2L,0.989,0.884,0.20,0.0,0.9081648405049205
ENSP00000360532,ENSP00000261973,CDC5L,RBM25,0.908,0.26,0.38,0.0,0.9049316175931902
ENSP00000484431,ENSP00000411355,CD48,PTPRC,0.854,0.0,0.61,0.0,0.9059213573793189
ENSP00000411355,ENSP00000349252,PTPRC,ITGAL,0.922,0.404,0.6,0.0,0.9505577824409662
ENSP00000369375,ENSP00000256178,TEK,LYVE1,0.627,0.0,0.56,0.0,0.9131348364944589
ENSP00000457421,ENSP00000256178,PECAM1,LYVE1,0.864,0.0,0.84,0.0,0.9024411487759125
